2025-01-28 16:49:58.145 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-28 16:49:58.149 | INFO     | __main__:<module>:68 - Project root: C:\Projects\buzzline-03-valjohnson
2025-01-28 16:49:58.149 | INFO     | __main__:<module>:72 - Data folder: C:\Projects\buzzline-03-valjohnson\data
2025-01-28 16:49:58.150 | INFO     | __main__:<module>:76 - Data file: C:\Projects\buzzline-03-valjohnson\data\buzz.json
2025-01-28 16:49:58.150 | INFO     | __main__:main:136 - START producer.
2025-01-28 16:49:58.150 | INFO     | utils.utils_producer:get_zookeeper_address:57 - Zookeeper address: localhost:2181
2025-01-28 16:49:58.166 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:79 - Zookeeper is ready at localhost:2181.
2025-01-28 16:49:58.167 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 16:49:58.510 | INFO     | utils.utils_producer:check_kafka_service_is_ready:98 - Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1001, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'a3IHpPA0RviQhxeu5trKBg', 'controller_id': 1001}
2025-01-28 16:49:58.512 | INFO     | __main__:get_kafka_topic:50 - Kafka topic: buzzline_json
2025-01-28 16:49:58.514 | INFO     | __main__:get_message_interval:57 - Message interval: 1 seconds
2025-01-28 16:49:58.514 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 16:49:58.515 | INFO     | utils.utils_producer:create_kafka_producer:146 - Connecting to Kafka broker at localhost:9092...
2025-01-28 16:49:58.627 | INFO     | utils.utils_producer:create_kafka_producer:151 - Kafka producer successfully created.
2025-01-28 16:49:58.627 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 16:49:58.952 | INFO     | utils.utils_producer:create_kafka_topic:176 - Creating 'buzzline_json'.
2025-01-28 16:49:59.293 | INFO     | utils.utils_producer:create_kafka_topic:181 - Topic 'buzzline_json' created successfully.
2025-01-28 16:49:59.294 | INFO     | __main__:main:159 - Kafka topic 'buzzline_json' is ready.
2025-01-28 16:49:59.295 | INFO     | __main__:main:165 - Starting message production to topic 'buzzline_json'...
2025-01-28 16:49:59.296 | INFO     | __main__:generate_messages:95 - Opening data file in read mode: C:\Projects\buzzline-03-valjohnson\data\buzz.json
2025-01-28 16:49:59.297 | INFO     | __main__:generate_messages:97 - Reading data from file: C:\Projects\buzzline-03-valjohnson\data\buzz.json
2025-01-28 16:49:59.314 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Eve'}
